SiteID,lon,lat,Gtable,Gtable_std,Gtable_closure,Gtable_closure_std,Gtable_CV,years_1,years_2,years_3,years_4,years_5,years_6,years_7,years_8,years_9,years_10,years_11,years_12,years_13,years_14,years_15,years_16,years_17,years_18,years_19,years_20,years_21,years_22,years_23,years_24,years_25,years_26,Gseas_amp
AR-SLu,121.9717,31.5169,4.77827069840029,0,37.1632882387308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77827069840029,0,0,0,0,0,6.89639896467183
AT-Neu,11.3175001144409,47.1166687011718,0.502873413839927,0.608455618724628,-0.960783045140218,2.42564186158855,1.20995781836721,0,0,0,0,0,0,0,0,0,0,0,0,4.25977152696027,0,1.56568186486474,0,0.385062312698971,1.35357945303347,0.0994959049802699,0.180326504600286,0.049908103431173,0.0180741038675252,0.370859063242981,0,0,0,7.10067825910591
AU-ASM,133.249,-22.283,0.451239699232605,0.339989456014207,-13.9958426975515,1.15401759152353,0.753456436994362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177741342307036,0.171172115055282,0.586033828532292,0.870011511035811,0,4.88218003054648
AU-Ade,131.1178,-13.0769,1.020765613875,0,-4.10655353156458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.020765613875,0,0,0,0,0,0,0,2.81237469394846
AU-Cpr,140.58912,-34.00206,0.386046575948864,0.0405965216352689,10.6753190999951,3.86316817765315,0.105159646955776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340564104287795,0.398959986608851,0.418615636949947,0,0,6.13786449336419
AU-Cum,150.722466,-33.613297,-0.933497023458089,1.02424280464856,-16.6401001669205,1.79953120427124,-1.09721057369236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.65774605620661,-0.209247990709566,0,4.09716334261912
AU-DaP,131.3181,-14.0633,-0.423793457900105,0.678475253985129,-9.11205319853955,7.78208974965817,-1.60095735631921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.00712207407535,0.744099385879961,-0.742753344372146,-0.562094259504447,-0.551096997428543,0,0,0,5.24366639120148
AU-DaS,131.388,-14.159283,1.80912140810249,0.90838130209727,12.0474491280645,10.8782546235875,0.50211185276395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28717810251443,2.7053057224341,2.45438488840169,1.76550767007339,0,1.42274031617235,0.219611749018998,0,4.88284566450788
AU-Dry,132.3706,-15.2588,1.46915742782092,0.731952998244671,-8.14372820039801,3.09448577986481,0.498212774467822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5982203961202,0,2.12799462857525,0,0.681257258767313,0,4.67397986234927
AU-Emr,121.9717,31.5169,1.40378068944076,0.00283403769212283,-23.9964612794525,9.38095202127264,0.00201886071908558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.405784656711,1.40177672217052,0,0,6.2703888457338
AU-Fog,131.3072,-12.5452,0.261783164370565,0,18.5263029927509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261783164370565,0,0,0,0,0,0,0,0,4.45622645465311
AU-GWW,121.9717,31.5169,0.59959280582595,0.138906508915953,NaN,NaN,0.231668071341527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50137107142053,0.697814540231369,0,5.79219066417089
AU-Gin,115.65,-31.375,1.48944715473035,0,2.07286842098142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48944715473035,0,5.92550518245546
AU-How,131.15005,-12.4952,0.92699552960232,0.572259397070724,-18.762691185344,3.66546041903195,0.617327029954743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82283827010291,0,0,0,0,0.696963089314856,0.941480736097491,1.29352272463866,0.180554967600447,0.626613389859551,0,2.71771140156148
AU-Rig,145.576,-36.656,0.956174831476231,0.813765967537457,NaN,NaN,0.851063990338556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380755397531663,0,0,1.5315942654208,0,6.23104576887461
AU-Rob,121.9717,31.5169,-0.926037160490836,0,-8.99004006488002,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.926037160490836,0,6.04516328253433
AU-Stp,133.3503,-17.1508,2.66760774551476,0.712584449443832,-0.689124757809742,3.15382695453345,0.267124898944364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32271492199334,3.48701884162982,2.1930894729211,0,0,0,6.32538814836293
AU-TTE,133.64,-22.287,2.44614332577507,0.511622900263297,16.3626170580691,1.47752375457816,0.209154915360974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80791534796158,2.08437130358857,0,5.32168798050009
AU-Wac,145.18725,-37.429,0.37420437303161,0,-33.1989434998502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37420437303161,0,0,0,0,0,0,0,1.18694646546168
AU-Whr,145.0294,-36.6732,0.707978637784007,0.27750905489624,-8.52409463877872,1.04771727506704,0.391973768819991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511750103226206,0.904207172341809,0,0,5.74626665383585
AU-Wom,144.0944,-37.4222,0.0464924097159519,0.825468181223029,-2.36540619189227,1.51829312559738,17.7549020639342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.96375678141696,0.00361580500930551,0.0897260449753043,1.05638457029616,1.59957335177343,0,5.95694517526687
AU-Ync,146.291606,-34.988282,4.65235685500349,1.24862755975479,8.14809275740842,15.690448291922,0.268386024260353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76944384032447,5.53526986968252,0,6.27682698219076
BE-Bra,4.520555556,51.30916667,-0.0452352005375249,0.111266218024423,4.43001500665865,9.95578850146104,-2.45972642327787,0,0,0,0,0,0,0,0,0.142958884335097,0.172970373447046,0.872596750382664,-0.073128953999476,0,0,0,0,-0.166690133698948,-0.373194323511872,-0.281768472078145,-0.15070110039508,-0.346585503833469,-0.0539555374842645,-0.16689845069952,-0.182225806043734,-0.0913492951439015,0,5.68294142174025
BE-Lon,4.7461305,50.551586,0.551315146643128,0.0583728061089775,3.79060994874176,0,0.105879198974308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510039339606583,1.64369601198547,1.51844158858295,1.15139487035984,-1.22196022510352,-1.91312982902471,0.592590953679674,0,0,0,0,6.7305254103359
BR-Sa3,-54.97143509,-3.01802927,-0.519449580837479,0.105683262272432,-13.0769716184544,2.74427125583319,-0.203452396866015,0,0,0,0,0,0,0,0,0,0,0,-0.524957191278439,-0.411120202708458,-0.62227134852554,0,0,0,0,0,0,0,0,0,0,0,0,0.599456437591181
